Sr.NO,State,Till March 2016,March-2016 till jan 2017,Till Jan 2017
1,Andaman & Nicobar ,5.1,0.3,5.4
2,Andhra Pradesh ,572.97,406.68,979.65
3,Arunachal Pradesh ,0.27,0,0.27
4,Assam ,0,11.18,11.18
5,Bihar ,5.1,90.81,95.91
6,Chandigarh ,6.81,9.4,16.2
7,Chhattisgarh ,93.58,41.61,135.19
8,Dadar &Nagar ,0,0.6,0.6
9,Daman & Diu ,4,0,4
10,Delhi ,14.28,24.5,38.78
11,Goa ,0,0.05,0.05
12,Gujarat ,1119.17,40.58,1159.76
13,Haryana ,15.39,57.88,73.27
14,Himachal Pradesh ,0.2,0.13,0.33
15,J&K ,1,0,1
16,Jharkhand ,16.19,1.33,17.51
17,Karnataka ,145.46,196.46,341.93
18,Kerala ,13.05,2.81,15.86
19,Lakshadweep ,0.75,0,0.75
20,Madhya Pradesh ,776.37,73.98,850.35
21,Maharashtra ,385.76,44.7,430.46
22,Manipur ,0,0.01,0.01
23,Meghlya ,0,0.01,0.01
24,Mizoram ,0.1,0,0.1
25,Nagaland ,0,0.5,0.5
26,Odisha ,66.92,10.72,77.64
27,Puducherry ,0.03,0,0.03
28,Punjab ,405.06,187.29,592.35
29,Rajasthan ,1269.93,47.71,1317.64
30,Sikkim ,0,0.01,0.01
31,Tamil Nadu ,1061.82,529.15,1590.97
32,Telangana ,527.84,545.57,1073.41
33,Tripura ,5,0.02,5.02
34,Uttar Pradesh ,143.5,125.76,269.26
35,Uttarakhand ,41.15,3.95,45.1
36,West Bengal ,7.77,15.3,23.07
37,Other/MoR/PSU ,58.31,3.39,61.7
38,trial1,,,
38,trial2,0.2,,
